danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,added_at,song_title,artists
0.754,0.813,5,-7.069,1,0.27699999999999997,0.22,0.0,0.49700000000000005,0.94,167.89,237733,4,2019-12-11T16:19:06Z,Petit Martien,La Fanfare En Pétard
0.8009999999999999,0.45,10,-9.615,1,0.11699999999999999,0.158,0.301,0.37,0.48200000000000004,86.01799999999999,181671,4,2019-12-11T15:36:20Z,L'amour propre,L'Entourloop
0.831,0.8140000000000001,2,-7.364,1,0.42,0.0598,0.0134,0.0556,0.389,156.985,124539,4,2019-12-10T12:49:24Z,Mercury: Retrograde,Ghostemane
0.768,0.563,2,-6.454,0,0.0874,0.835,0.000638,0.125,0.755,114.075,179213,4,2019-12-09T15:03:52Z,"Tropic Sky (feat. Ruffian Rugged, Prendy & Art-X)","Biga Ranx,Ruffian Rugged,Prendy,Art-X"
0.519,0.8740000000000001,0,-6.206,1,0.033,4.24e-05,0.7,0.34299999999999997,0.513,150.005,534040,4,2019-12-09T14:44:28Z,Esperanza,Hilight Tribe
0.7979999999999999,0.575,11,-8.484,0,0.0567,0.0681,0.000942,0.0988,0.187,119.99700000000001,216564,4,2019-12-09T11:16:57Z,Crazy Worlds,Panda Dub
0.674,0.77,10,-5.51,0,0.205,0.12,0.0,0.14,0.8490000000000001,171.987,252316,4,2019-12-09T10:39:59Z,Raggamuffin School,"Skarra Mucci,Yaniss Odua"
0.838,0.544,0,-7.2989999999999995,1,0.0986,0.209,0.0,0.273,0.544,92.016,347987,4,2019-12-09T10:34:36Z,Maché bécif,Dub Inc.
0.695,0.63,1,-6.439,1,0.32,0.634,0.0,0.0614,0.737,177.146,214169,4,2019-12-09T07:31:38Z,Arcueil Cachan (avec Shantel),"Dooz Kawa,Shantel"
0.359,0.603,8,-11.607999999999999,0,0.34700000000000003,0.22899999999999998,0.631,0.19699999999999998,0.473,101.65899999999999,245586,4,2019-12-08T14:04:22Z,Girl,Jamie xx
0.826,0.42200000000000004,3,-8.217,0,0.11,0.48200000000000004,0.0,0.10800000000000001,0.218,119.994,228107,4,2019-12-02T20:02:00Z,Held Me Down,"NAV,Metro Boomin"
0.857,0.6,7,-8.693999999999999,1,0.38,0.00124,2.75e-05,0.124,0.841,156.065,169211,4,2019-12-02T10:30:28Z,Bet (feat. Skepta & Michael Phantom),"Octavian,Skepta,Michael Phantom"
0.27699999999999997,0.6629999999999999,4,-8.821,0,0.0377,0.00040899999999999997,0.0005099999999999999,0.136,0.527,104.561,237027,4,2019-12-01T20:14:03Z,Take Me Out,Franz Ferdinand
0.413,0.879,11,-4.934,1,0.0747,0.000132,0.0,0.384,0.59,167.94,241159,4,2019-11-27T12:55:06Z,Dreamland,Fox Stevenson
0.52,0.9009999999999999,5,-3.083,0,0.121,0.00793,0.000901,0.0744,0.62,175.048,268832,4,2019-11-27T10:44:34Z,Knowhow,Fox Stevenson
0.547,0.917,8,-2.484,1,0.0345,0.0625,0.0016300000000000002,0.201,0.294,150.063,195200,4,2019-11-27T08:43:00Z,Turn Left,"Snavs,WiDE AWAKE"
0.624,0.6579999999999999,6,-6.476,1,0.0695,0.0031899999999999997,0.0163,0.0971,0.361,74.964,215600,4,2019-11-27T08:35:56Z,Looking Back,DROELOE
